COCET 1351-1400 日本語->英語	
広い	broad
狭い	narrow
放射性の	radioactive
ウラン	uranium
プルトニウム	plutonium
中性子	neutron
陽子	proton
核	nucleus
放送する	broadcast
手に入れる	obtain
不思議に思う	wonder
叫ぶ	scream
みなす	regard
採用する	adopt
保護する	preserve
抽出する	extract
代用する	substitute
変換する	transform
粉々にする	smash
正の	positive
効率がよい	efficient
生命の	vital
外側の	outer
整数	integer
一部分	fraction
分母	denominator
分子	numerator
多角形	polygon
公式	formula
球	sphere
総和	sum
数の	numerical
数多くの	numerous
連続した	consecutive
10進法の	decimal
基本的な	fundamental
ありふれた	ordinary
年1回の	annual
給料	salary
先駆者	pioneer
スペクトル	spectrum
側面	aspect
章	chapter
概念	concept
職業	career
内容	content
責任	responsibility
機会	opportunity
流体	fluid
流れ	stream
