技術英語 後期中間試験 日本語→英語	
一石ニ鳥	kills two birds with one stone
(~すること/~になること)を熱望する、切望する	aspire (to do / to be)
(主に子どもの)小遣い	allowance
(~することに)満足して	content
~を生み出す、作り出す	generate
~することを可能にする	enable
~を思いつく	hit upon (on)
＜兆候などが＞[~となって]現れる	manifest [oneself]
革新的な、刷新的な	innovative
馬力の強い乗り物	beast
始めから、ゼロから	from scratch
圧縮空気式の、 圧縮空気で動く	pneumatic
定期購読する	subscribe
けっこう、 まあまあ ; 非常に、 とても	pretty
(自分の意見を強調して)何が言いたいかというと・・	I('ll) tell you what.
簡潔な、簡明な	concise
自動車の、自動車関連の	automotive
戦略	strategy
(時間・金など) ~をさく、与える	spare
警告を与える、注意する	caution
交差点	intersection
歩行者	pedestrian
コンピュータによる画像認識技術	computer Vision technique
分配する、配布する、配給する、配信する	distribute
AをBに変換する	convert A into B
<生産・利益など>~を増大させる、伸ばす；促進する	boost
広がる、拡大する	expand
~を支持する、選ぶ	favor
どちらかの、いずれか一方の	either
下稽古する、予行演習する	rehearse
短縮、収縮	contraction
<作物を>収穫する	harvest
~に似ている	resemble
詳細に	in detail
